Diesel,Electric,Hybrid,Other,Petrol,Automatic,Manual,Other.1,Semi-Auto,year,price,mileage,tax,mpg,engineSize
0,0,0,0,1000,0,1000,0,0,666,266,207,270,472,199
1000,0,0,0,0,1000,0,0,0,555,372,477,36,613,500
0,0,0,0,1000,0,1000,0,0,555,227,394,54,472,199
1000,0,0,0,0,1000,0,0,0,666,380,342,261,663,500
0,0,0,0,1000,0,1000,0,0,888,393,26,261,379,0
0,0,0,0,1000,1000,0,0,0,555,303,425,54,528,199
1000,0,0,0,0,0,1000,0,0,555,246,991,36,716,500
0,0,0,0,1000,0,1000,0,0,444,206,608,36,548,199
0,0,0,0,1000,0,1000,0,0,555,253,296,54,472,199
0,0,0,0,1000,0,1000,0,0,666,361,381,261,528,199
1000,0,0,0,0,1000,0,0,0,555,372,688,225,508,500
1000,0,0,0,0,0,1000,0,0,555,385,592,261,423,500
0,0,0,0,1000,0,1000,0,0,666,369,286,54,528,199
1000,0,0,0,0,0,1000,0,0,444,343,624,54,568,500
0,0,0,0,1000,1000,0,0,0,666,319,344,261,528,199
1000,0,0,0,0,1000,0,0,0,555,351,374,261,439,500
0,0,0,0,1000,1000,0,0,0,333,303,402,54,490,199
1000,0,0,0,0,1000,0,0,0,555,438,496,360,339,500
0,0,0,0,1000,0,1000,0,0,333,385,449,261,352,199
1000,0,0,0,0,1000,0,0,0,666,393,489,261,663,500
1000,0,0,0,0,1000,0,0,0,555,470,312,360,339,500
1000,0,0,0,0,1000,0,0,0,666,530,285,261,528,1000
1000,0,0,0,0,1000,0,0,0,444,398,827,270,439,1000
1000,0,0,0,0,1000,0,0,0,555,464,313,360,339,500
1000,0,0,0,0,1000,0,0,0,666,425,229,261,591,500
1000,0,0,0,0,1000,0,0,0,666,451,439,261,568,500
0,0,0,0,1000,0,1000,0,0,777,353,142,261,490,199
1000,0,0,0,0,1000,0,0,0,777,390,331,261,716,500
1000,0,0,0,0,0,1000,0,0,444,306,806,54,591,500
1000,0,0,0,0,1000,0,0,0,444,187,722,0,807,300
0,0,0,0,1000,0,1000,0,0,666,372,281,225,408,199
1000,0,0,0,0,1000,0,0,0,333,332,516,369,352,500
0,0,0,0,1000,1000,0,0,0,666,359,626,270,352,199
1000,0,0,0,0,1000,0,0,0,555,382,534,270,408,500
1000,0,0,0,0,1000,0,0,0,333,261,569,360,352,500
0,0,0,0,1000,0,1000,0,0,666,221,414,261,663,0
1000,0,0,0,0,1000,0,0,0,555,449,448,225,528,500
1000,0,0,0,0,0,1000,0,0,666,359,383,261,716,500
1000,0,0,0,0,0,1000,0,0,666,388,389,261,637,500
1000,0,0,0,0,0,1000,0,0,444,235,997,36,689,500
1000,0,0,0,0,1000,0,0,0,555,390,522,288,392,500
1000,0,0,0,0,1000,0,0,0,666,472,565,261,408,500
0,0,0,0,1000,1000,0,0,0,555,338,774,261,352,199
0,0,0,0,1000,0,1000,0,0,888,351,26,261,379,0
0,0,0,0,1000,1000,0,0,0,777,375,302,261,392,400
1000,0,0,0,0,1000,0,0,0,666,316,423,261,745,500
0,0,0,0,1000,1000,0,0,0,666,470,172,261,439,500
0,0,0,0,1000,1000,0,0,0,666,562,267,261,205,1000
1000,0,0,0,0,0,1000,0,0,555,273,693,0,775,500
1000,0,0,0,0,1000,0,0,0,444,279,416,36,663,500
0,0,0,0,1000,0,1000,0,0,555,356,422,261,379,199
1000,0,0,0,0,0,1000,0,0,555,332,516,54,548,500
0,0,0,0,1000,1000,0,0,0,444,332,742,360,270,400
1000,0,0,0,0,1000,0,0,0,555,359,629,36,568,500
0,0,0,0,1000,0,1000,0,0,333,227,452,225,439,199
1000,0,0,0,0,0,1000,0,0,555,206,875,0,916,300
1000,0,0,0,0,0,1000,0,0,555,425,449,54,568,500
1000,0,0,0,0,0,1000,0,0,555,216,499,36,716,300
1000,0,0,0,0,0,1000,0,0,666,359,346,54,663,300
1000,0,0,0,0,0,1000,0,0,666,332,592,225,509,500
0,0,0,0,1000,0,1000,0,0,666,306,885,270,408,199
0,0,0,0,1000,0,1000,0,0,777,437,237,270,455,250
0,0,0,0,1000,0,1000,0,0,666,245,254,270,663,0
0,0,0,0,1000,1000,0,0,0,222,240,678,225,392,400
0,0,0,0,1000,0,1000,0,0,555,221,239,0,663,0
1000,0,0,0,0,0,1000,0,0,555,266,257,54,663,500
1000,0,0,0,0,0,1000,0,0,555,375,432,54,568,500
1000,0,0,0,0,0,1000,0,0,666,282,342,261,637,500
0,0,0,0,1000,0,1000,0,0,888,359,75,261,379,0
0,0,0,0,1000,0,1000,0,0,666,382,144,261,408,199
