Diesel,Electric,Hybrid,Other,Petrol,Automatic,Manual,Other,Semi-Auto,year,price,mileage,tax,mpg,engineSize
0,0,0,0,1,0,1,0,0,2017,12500,15735,150,55.4,1.4
1,0,0,0,0,1,0,0,0,2016,16500,36203,20,64.2,2.0
0,0,0,0,1,0,1,0,0,2016,11000,29946,30,55.4,1.4
1,0,0,0,0,1,0,0,0,2017,16800,25952,145,67.3,2.0
0,0,0,0,1,0,1,0,0,2019,17300,1998,145,49.6,1.0
0,0,0,0,1,1,0,0,0,2016,13900,32260,30,58.9,1.4
1,0,0,0,0,1,0,0,0,2016,13250,76788,30,61.4,2.0
1,0,0,0,0,0,1,0,0,2016,11750,75185,20,70.6,2.0
0,0,0,0,1,0,1,0,0,2015,10200,46112,20,60.1,1.4
0,0,0,0,1,0,1,0,0,2016,12000,22451,30,55.4,1.4
0,0,0,0,1,0,1,0,0,2017,16100,28955,145,58.9,1.4
1,0,0,0,0,1,0,0,0,2016,16500,52198,125,57.6,2.0
1,0,0,0,0,0,1,0,0,2016,17000,44915,145,52.3,2.0
0,0,0,0,1,0,1,0,0,2017,16400,21695,30,58.9,1.4
1,0,0,0,0,0,1,0,0,2015,15400,47348,30,61.4,2.0
0,0,0,0,1,1,0,0,0,2017,14500,26156,145,58.9,1.4
1,0,0,0,0,1,0,0,0,2016,15700,28396,145,53.3,2.0
0,0,0,0,1,1,0,0,0,2014,13900,30516,30,56.5,1.4
1,0,0,0,0,1,0,0,0,2016,19000,37652,200,47.1,2.0
0,0,0,0,1,0,1,0,0,2014,17000,34110,145,47.9,1.4
1,0,0,0,0,1,0,0,0,2017,17300,37100,145,67.3,2.0
1,0,0,0,0,1,0,0,0,2016,20200,23714,200,47.1,2.0
1,0,0,0,0,1,0,0,0,2017,22500,21649,145,58.9,3.0
1,0,0,0,0,1,0,0,0,2015,17500,62748,150,53.3,3.0
1,0,0,0,0,1,0,0,0,2016,20000,23789,200,47.1,2.0
1,0,0,0,0,1,0,0,0,2017,18500,17418,145,62.8,2.0
1,0,0,0,0,1,0,0,0,2017,19500,33300,145,61.4,2.0
0,0,0,0,1,0,1,0,0,2018,15800,10793,145,56.5,1.4
1,0,0,0,0,1,0,0,0,2018,17200,25138,145,70.6,2.0
1,0,0,0,0,0,1,0,0,2015,14000,61176,30,62.8,2.0
1,0,0,0,0,1,0,0,0,2015,9500,54754,0,76.3,1.6
0,0,0,0,1,0,1,0,0,2017,16500,21369,125,51.4,1.4
1,0,0,0,0,1,0,0,0,2014,15000,39190,205,47.9,2.0
0,0,0,0,1,1,0,0,0,2017,16000,47482,150,47.9,1.4
1,0,0,0,0,1,0,0,0,2016,16900,40501,150,51.4,2.0
1,0,0,0,0,1,0,0,0,2014,12300,43195,200,47.9,2.0
0,0,0,0,1,0,1,0,0,2017,10800,31447,145,67.3,1.0
1,0,0,0,0,1,0,0,0,2016,19400,34030,125,58.9,2.0
1,0,0,0,0,0,1,0,0,2017,16000,29063,145,70.6,2.0
1,0,0,0,0,0,1,0,0,2017,17100,29545,145,65.7,2.0
1,0,0,0,0,0,1,0,0,2015,11300,75619,20,68.9,2.0
1,0,0,0,0,1,0,0,0,2016,17200,39603,160,50.4,2.0
1,0,0,0,0,1,0,0,0,2017,20300,42908,145,51.4,2.0
1,0,0,0,0,1,0,0,0,2014,13200,83872,125,58.9,2.0
0,0,0,0,1,1,0,0,0,2016,15200,58750,145,47.9,1.4
0,0,0,0,1,0,1,0,0,2019,15700,2029,145,49.6,1.0
